D,PDR_REPORT,TABLE,1,BILLING,ASRECOVERY,8,BILLINGASRECOVERY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,BILLING_CO2E_PUBLICATION,1,BILLING_CO2E_PUBLICATION,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,BILLING_CO2E_PUBLICATION_TRK,1,BILLING_CO2E_PUBLICATION_TRK,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,BILLING,BILLING_DIRECTION_RECON_OTHER,1,BILLING_DIRECTION_RECON_OTHER,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,BILLING_DIRECTION_RECON_OTHER,2,BILLING_DIRECTION_RECON_OTHER,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,CPDATA,7,BILLINGCPDATA,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,DAILY_ENERGY_SUMMARY,2,BILLING_DAILY_ENERGY_SUMMARY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,DAILY_ENERGY_SUMMARY,1,BILLING_DAILY_ENERGY_SUMMARY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,DAYTRK,5,BILLINGDAYTRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,DIR_FINAL_AMOUNT,1,BILLING_DIR_FINAL_AMOUNT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,DIR_FINAL_RECOVERY,1,BILLING_DIR_FINAL_RECOVERY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,DIR_PROV_AMOUNT,1,BILLING_DIR_PROV_AMOUNT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,DIR_PROV_RECOVERY,1,BILLING_DIR_PROV_RECOVERY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,DIR_RECOVERY_DETAIL,1,BILLING_DIR_RECOVERY_DETAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,EFTSHORTFALL_AMOUNT,1,BILLING_EFTSHORTFALL_AMOUNT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,EFTSHORTFALL_DETAIL,1,BILLING_EFTSHORTFALL_DETAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,ENERGY_GENSET_DETAIL,1,BILLING_ENERGY_GENSET_DETAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,ENERGY_TRANSACTION,1,BILLING_ENERGY_TRANSACTIONS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,ENERGY_TRAN_SAPS,1,BILLING_ENERGY_TRAN_SAPS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,FEES,5,BILLINGFEES,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,FINANCIALADJUSTMENTS,5,BILLINGFINANCIALADJUSTMENTS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,GENDATA,5,BILLINGGENDATA,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,GST_DETAIL,5,BILLING_GST_DETAIL,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,GST_SUMMARY,5,BILLING_GST_SUMMARY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,INTERRESIDUES,5,BILLINGINTERRESIDUES,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,INTRARESIDUES,5,BILLINGINTRARESIDUES,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,IRAUCSURPLUS,5,BILLINGIRAUCSURPLUS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,IRAUCSURPLUSSUM,7,BILLINGIRAUCSURPLUSSUM,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,IRNSPSURPLUS,5,BILLINGIRNSPSURPLUS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,IRNSPSURPLUSSUM,6,BILLINGIRNSPSURPLUSSUM,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,IRPARTSURPLUS,5,BILLINGIRPARTSURPLUS,INSERT,,1,0
